Category,Question,Answer
Pronoun Reference Exercise,Yehhua:tl?,Que:mah/yehhua:tl
Pronoun Reference Exercise,Tehhua:n?,Que:mah/amehhua:n
Pronoun Reference Exercise,Tehhua:tl?,Que:mah/nehhua:tl
Pronoun Reference Exercise,Yehhua:n?,Que:mah/yehhua:n
Pronoun Reference Exercise,Amehhua:n,Que:mah/tehhua:n
Pronoun Reference Exercise,Nehhua:tl,Que:mah/tehhua:tl
Pronoun Reference Exercise,Tehhua:n?,Que:mah/amehhua:n
Pronoun Reference Exercise,Tehhua:tl?,Que:mah/nehhua:tl
Pronoun Reference Exercise,Amehhua:n?,Que:mah/tehhua:n
Pronoun Reference Exercise,Tehhua:tl i:hua:n Xuan?,Que:mah/tehhua:n
Pronoun Reference Exercise,Nehhua:tl?,Que:mah/tehhua:tl
Pronoun Reference Exercise,Amehhua:n i:hua:n Maria?,Que:mah/tehhua:n
