nah,en
a:mapo:huani,reader
a:moxpo:huani,book reader
a:zcani,water carrier
cahua:yohpahtia:ni,horse doctor
cho:cani,weeper
choloa:ni,runaway/fugitive
cochini,sleep person
cui:cani,singer
icxinehnemini,pedestrian
i:xhuetzcani,smiling person
pa:quini,happy person
tequini,grinder
tenani,moaner
a:miquini,thirsty person
a:pi:zmiquini,hungry person
cochmiquini,sleepy person
michnamacani,fish seller
motzi:nnamacani,prostitute
nacanamacani,butcher
pahnamacani,druggist
calpixqui,house steward
cahua:yohpixqui,horse groom
ichcapixqui,shepherd
pitzopixqui,pig herder
teo:pixqui,priest
tlapixqui,caretaker
xo:chipixqui,gardener
yohuallapixqui,night watchman
cacchi:uhqui,shoemaker
iztachi:uhqui,saltmaker
mi:chi:uhqui,arrowmaker
tomi:nchi:uhqui,coinmaker
zoquichi:uhqui,claymaker
