nah,en
ahcolli,shoulder
camatl,mouth
co:tztli,calf
cua:itl,head
e:huatl,skin
e:lchiquihuitl,chest/ribcage
e:lli,liver
eztli,blood
icxitl,foot
ihtetl,stomach
i:xtelolohtli,eyeball
i:xte:ntli,eyelid
i:xtli,face
iztetl,fingernail
mahpilli,finger
ma:itl,hand/arm
nacaztli,ear
nenepilli,tongue
omitl,bone
quechtli,neck
te:ntli,lip/edge
te:ntzontli,beard/moustache
tepoxtli,back
tlalhua:tl,nerve
tlancua:itl,knee
tlantli,tooth
tzi:ntli,buttocks
tzontecomatl,head/skull
tzontli,hair
xi:ctli,navel
xopilli,toe
xa:yacatl,face
yacatl,nose
yo:llo:tl,heart
