nah,en
ahcol-li,shoulder
a:ltepe:-tl,town
a:ma-tl,paper
a:mox-tli,book
a:xca:-i-tl,possession/propert
cal-li,house
cax-i-tl,plate
cha:n-tli,home
chichi,dog
chiquihu-i-tl,basket
co:a:-tl,snake
co:l.li,grandfather
co:mi-tl,pot
cone:-tl,child
co:tz-tli,calf of the leg
cuahu-i-tl,tree/wood
cua:uh-tli,eagle
cue:-itl,skirt
cui:ca-tl,song
e:l-li,liver
icxi-tl,foot
ihte-tl/ihti-tl,stomach
i:xteloloh-tli,eyeball
i:xte:n-tli,eyelid
i:x-tli,face/eye/surface
izte-tl/izti-tl,fingernail
mahpil-li,finger
ma:-i-tl,hand
metl-a-tl,grindstone
mi:l-li,field
miz-tli,cat
nacaz-tli,ear
na:n-tli,mother
nenepil-li,tongue
petl-a-tl,reed mat
pil-li,child/nobleperson
pitzo-tl,pig
quech-tli,neck
tah-tli,father
teo:-tl,god
tlacual-li,food/meal
tlapech-tli,bed
tlahto:l-li,speech/word
tlaxcal-li,bread
to:ca:-itl,name
toca-tl,spider
to:ch-tli,rabbit
tzontecom-a-tl,head
xayac-a-tl,head
xo:ch-i-tl,flower
xoc-tli,pot
yac-a-tl,nose
