nah,en
-ca,with/by means of/with the help of
-co/-c,in/on
-hua:n,with/in the company of
-hui:c,toward/against
-i:campa,behind
-icpac,on top of
-ihtic/-ehtic,inside of
-i:xco, on the surface of
-i:xpan,in front of
-na:huac,near
-nepantlah,in the middle of
-pa,toward/away from (motion)
-pan,on/in/at
-pal,with the help of/by (someone's) grace
-pampa,because of/on behalf of/through the favor of
attached to/in contiguity with,
-tepotzco,behind
-(ti)-tlan,near/among
-tla:n,below/next to
-tza:lan,among/between
-tloc,close to/near
-tzi:ntlan,beneath
