nah,en
ahci,to grab s.o./s.t.
ahhua,to scold s.o.
a:ltia:,to bathe s.o.
ca:hu(a),to leave s.t./s.o. behind
caqu(i),to head s.t./s.o.
chi:hu(a),to make s.t./to do s.t.
chiy(a),to await s.o.
co:hu(a),to buy s.t.
cua:,to eat s.t.
cuep(a),to turn s.t./to return s.t.
e:hu(a),to raise s.t./to get s.o. up
hui:tequ(i),to beat/whip s.o./s.t.
i:,to drink s.t.
(i)hcuiloa:,to write s.t.
ihto:tia:,to get s.o. to dance/to dance with s.o.
(i)lca:hu(a),to forget s.t./s.o.
(i)na:miqu(i),to remember s.t./s.o.
(i)lpia:,to tie s.t./s.o. up
(i)tta,to see s.t./s.o.
i:xmat(i),to know/recognize s.o.
maca,to give s.t. to s.o.
mat(i),to know s.t. (a fact)
namaca,to sell s.t.
na:miqu(i),to find s.t./to meet s.o.
nequ(i),to want s.t./to desire s.o.
no:tz(a),to call s.o./to speak to s.o.
piy(a),to have s.t./to take care of s.t.
quetz(a),to stand s.t./s.o. up/to stand s.t. on end
te:ca,to spead s.t. out
tequ(i),to cut s.t./s.o.
tla:lia:,to set/put s.t. down
